App Sub Category,Application Name,Bytes,Sessions,Threats
photo-video,youtube-base,2757481773,2066,34
photo-video,facebook-video,3689168,3,0
photo-video,instagram-base,778267,71,0
photo-video,vimeo-base,11676,1,0
internet-conferencing,zoom-meeting,794781666,33,0
internet-conferencing,zoom-base,27672515,629,0
internet-conferencing,google-meet,194771,15,0
social-networking,facebook-base,499137646,598,0
social-networking,pinterest-base,145901,9,0
internet-utility,icloud-base,90956026,1479,107
internet-utility,grammarly,4080748,57,0
internet-utility,google-analytics,1382458,62,3
email,outlook-web-online,72931131,633,0
email,gmail-base,13088510,219,0
management,service-now-base,18183806,83,0
management,new-relic,1005410,80,0
management,datadog,464824,19,0
management,wheniwork,126366,7,0
office-programs,ms-teams,14084055,468,0
office-programs,ms-office365-base,4439911,223,0
office-programs,google-docs-base,776901,30,0
office-programs,ms-delve,151273,13,0
instant-messaging,slack-base,6768780,98,0
instant-messaging,snapchat,193766,18,0
social-business,sharepoint-online,4975876,54,0
social-business,smartsheet-base,997511,119,0
file-sharing,google-drive-web,316347,10,0
file-sharing,ms-onedrive-base,86589,6,0
general-business,arcgis-base,98042,2,0
general-business,windows-azure-base,29914,3,0
general-business,zoominfo,24868,1,0
voip-video,twilio,78358,1,0
voip-video,skype,60601,3,0
erp-crm,salesforce-base,54177,8,0
auth-service,okta,34037,4,0
